t_s,swap_ms,group
0.01,14.29,$SIP_PORTS/0
8.16,11.952,$FTP_PORTS/0
16.27,16.99,$ORACLE_PORTS/1
24.4,25.984,literal/3
32.08,30.968,any/0
40.17,11.973,$SIP_PORTS/0
48.29,12.979,$FTP_PORTS/0
56.42,16.978,$ORACLE_PORTS/1
