t_s,cumulative_nominations
0.05,3
0.47,6
0.91,9
1.33,12
1.76,12
2.19,15
2.62,18
3.04,21
3.47,24
3.89,24
4.31,27
4.74,30
5.17,33
5.59,36
6.02,36
6.45,39
6.88,42
7.3,45
7.73,48
8.16,48
8.6,51
9.04,54
9.47,57
9.89,60
10.32,60
10.75,63
11.18,66
11.6,69
12.03,72
12.46,72
12.89,75
13.31,78
13.74,81
14.16,84
14.59,84
15.02,87
15.44,90
15.87,93
16.3,96
16.76,96
17.18,101
17.61,109
18.03,116
18.46,122
18.89,122
19.32,126
19.74,130
20.16,134
20.59,138
21.01,138
21.44,143
21.86,151
22.29,158
22.71,164
23.14,164
23.56,168
23.99,172
24.41,176
24.87,184
25.3,184
25.72,189
26.15,196
26.58,202
27.0,206
27.42,206
27.85,212
28.28,216
28.71,221
29.13,229
29.56,229
29.99,234
30.41,241
30.83,247
31.26,251
31.69,251
32.12,257
32.57,261
33.0,265
33.43,269
33.85,269
34.29,274
34.72,279
35.14,283
35.57,287
36.0,287
36.42,291
36.85,295
37.27,299
37.7,303
38.13,303
38.55,308
38.98,313
39.4,317
39.83,321
40.26,321
40.69,324
41.12,327
41.55,330
41.98,333
42.4,333
42.83,336
43.26,339
43.69,342
44.12,345
44.55,345
44.97,348
45.4,351
45.82,354
46.25,357
46.67,357
47.1,360
47.53,363
47.95,366
48.37,369
48.81,369
49.24,372
49.66,375
50.09,378
50.52,381
50.95,381
51.38,384
51.8,387
52.23,390
52.66,393
53.09,393
53.51,396
53.94,399
54.37,402
54.8,405
55.22,405
55.65,408
56.07,411
56.51,418
56.94,424
57.37,424
57.79,428
58.22,432
58.64,436
59.07,440
59.49,440
59.92,445
60.34,453
60.76,460
61.19,466
61.62,466
62.04,470
62.47,474
62.89,478
63.32,482
63.74,482
64.17,487
64.62,494
65.05,500
65.48,504
65.9,504
66.33,510
66.75,514
67.18,519
67.6,527
68.03,527
68.45,532
68.87,539
69.3,545
69.73,549
70.15,549
70.57,555
71.0,559
71.43,564
71.85,572
72.28,572
72.73,577
73.16,582
73.59,586
74.01,590
74.44,590
74.87,594
75.29,598
75.72,602
76.15,606
76.57,606
77.0,611
77.42,616
77.85,620
78.28,624
78.7,624
79.13,628
79.55,632
79.98,636
80.4,640
80.84,640
81.26,643
81.69,646
82.11,649
82.54,652
82.96,652
83.39,655
83.81,658
84.24,661
84.66,664
85.09,664
85.51,667
85.94,670
86.36,673
86.79,676
87.22,676
87.64,679
88.07,682
88.5,685
88.93,688
89.35,688
89.78,691
90.21,694
90.64,697
91.07,700
91.5,700
91.93,703
92.36,706
92.79,709
93.21,712
93.64,712
94.07,715
94.49,718
94.92,721
95.34,724
95.77,724
96.2,727
96.64,731
97.07,735
97.5,739
97.93,739
98.36,744
98.78,752
99.21,759
99.63,765
100.06,765
100.48,769
100.91,773
101.34,777
101.77,781
102.19,781
102.62,786
103.04,794
103.47,801
103.89,807
104.32,807
104.78,813
105.2,817
105.63,822
106.06,830
106.49,830
106.92,835
107.34,842
107.77,848
108.2,852
108.62,852
109.05,858
109.48,862
109.9,867
110.33,875
110.75,875
111.18,880
111.61,887
112.03,893
112.49,897
112.91,897
113.34,901
113.76,905
114.19,909
114.62,913
115.05,913
115.48,918
115.9,923
116.32,927
116.75,931
117.18,931
117.61,935
118.03,939
118.46,943
118.88,947
119.31,947
119.73,952
120.15,957
120.59,960
121.02,963
121.45,963
121.87,966
122.3,969
122.72,972
123.15,975
123.58,975
124.0,978
124.43,981
124.85,984
125.28,987
125.7,987
126.13,990
126.55,993
126.98,996
127.4,999
127.83,999
128.25,1002
128.69,1005
129.12,1008
129.54,1011
129.97,1011
130.4,1014
130.82,1017
131.25,1020
131.67,1023
132.1,1023
132.52,1026
132.95,1029
133.37,1032
133.8,1035
134.22,1035
134.65,1038
135.07,1041
135.5,1044
135.92,1047
136.35,1047
136.8,1052
137.22,1060
137.65,1067
138.08,1073
138.5,1073
138.93,1077
139.35,1081
139.78,1085
140.2,1089
140.63,1089
141.05,1094
141.47,1102
141.9,1109
142.33,1115
142.75,1115
143.18,1119
143.6,1123
144.03,1127
144.48,1135
144.9,1135
145.33,1140
145.76,1147
146.19,1153
146.62,1157
147.05,1157
147.48,1163
147.9,1167
148.33,1172
148.76,1180
149.18,1180
149.61,1185
150.03,1192
150.45,1198
150.88,1202
151.3,1202
151.73,1208
152.15,1212
152.61,1216
153.04,1220
153.47,1220
153.9,1225
154.32,1230
154.75,1234
155.18,1238
155.61,1238
156.04,1242
156.46,1246
156.89,1250
157.32,1254
157.74,1254
158.17,1259
158.6,1264
159.02,1268
159.44,1272
159.87,1272
160.3,1276
160.73,1279
161.16,1282
161.59,1285
162.02,1285
162.45,1288
162.87,1291
163.3,1294
163.73,1297
164.15,1297
164.58,1300
165.0,1303
165.43,1306
165.85,1309
166.28,1309
166.71,1312
167.13,1315
167.56,1318
167.98,1321
168.41,1321
168.84,1324
169.27,1327
169.7,1330
170.13,1333
170.55,1333
170.98,1336
171.41,1339
171.83,1342
172.26,1345
172.69,1345
173.12,1348
173.54,1351
173.97,1354
174.4,1357
174.83,1357
175.25,1360
175.68,1363
176.1,1366
176.55,1372
176.98,1372
177.41,1376
177.84,1380
178.27,1384
178.69,1388
179.12,1388
179.55,1393
179.97,1401
180.4,1408
180.82,1414
181.25,1414
