t_s,cumulative_nominations
181.67,1418
182.09,1422
182.52,1426
182.94,1430
183.37,1430
183.79,1435
184.22,1443
184.67,1449
185.09,1453
185.52,1453
185.95,1459
186.37,1463
186.8,1468
187.22,1476
187.65,1476
188.08,1481
188.5,1488
188.93,1494
189.36,1498
189.79,1498
190.21,1504
190.64,1508
191.06,1513
191.49,1521
191.92,1521
192.35,1526
192.81,1531
193.24,1535
193.66,1539
194.09,1539
194.52,1543
194.95,1547
195.37,1551
195.79,1555
196.22,1555
196.64,1560
197.07,1565
197.49,1569
197.92,1573
198.34,1573
198.76,1577
199.19,1581
199.62,1585
200.04,1589
200.48,1589
200.91,1592
201.34,1595
201.76,1598
202.19,1601
202.61,1601
203.04,1604
203.46,1607
203.88,1610
204.31,1613
204.73,1613
205.16,1616
205.58,1619
206.01,1622
206.43,1625
206.86,1625
207.28,1628
207.7,1631
208.13,1634
208.57,1637
209.0,1637
209.42,1640
209.85,1643
210.28,1646
210.7,1649
211.13,1649
211.56,1652
211.99,1655
212.41,1658
212.84,1661
213.27,1661
213.69,1664
214.12,1667
214.55,1670
214.98,1673
215.41,1673
215.83,1676
216.26,1679
216.71,1683
217.13,1687
217.56,1687
217.98,1692
218.41,1700
218.84,1707
219.26,1713
219.69,1713
220.11,1717
220.54,1721
220.96,1725
221.39,1729
221.81,1729
222.24,1734
222.67,1742
223.09,1749
223.52,1755
223.95,1755
224.38,1759
224.83,1763
225.26,1768
225.69,1776
226.11,1776
226.54,1781
226.96,1788
227.39,1794
227.81,1798
228.24,1798
228.67,1804
229.1,1808
229.52,1813
229.95,1821
230.37,1821
230.8,1826
231.23,1833
231.65,1839
232.08,1843
232.53,1843
232.96,1847
233.39,1851
233.81,1855
234.24,1859
234.67,1859
235.09,1864
235.51,1869
235.94,1873
236.36,1877
236.79,1877
237.21,1881
237.64,1885
238.06,1889
238.49,1893
238.91,1893
239.34,1898
239.77,1903
240.2,1907
240.65,1910
241.07,1910
241.5,1913
241.93,1916
242.36,1919
242.78,1922
243.21,1922
243.64,1925
244.07,1928
244.49,1931
244.92,1934
245.35,1934
245.77,1937
246.19,1940
246.62,1943
247.04,1946
247.47,1946
247.89,1949
248.32,1952
248.76,1955
249.18,1958
249.61,1958
250.04,1961
250.47,1964
250.9,1967
251.33,1970
251.75,1970
252.18,1973
252.61,1976
253.03,1979
253.46,1982
253.88,1982
254.31,1985
254.74,1988
255.16,1991
255.59,1994
256.02,1994
256.46,1999
256.89,2007
257.32,2014
257.74,2020
258.17,2020
258.6,2024
259.02,2028
259.44,2032
259.88,2036
260.3,2036
260.72,2041
261.15,2049
261.57,2056
262.0,2062
262.42,2062
262.85,2066
263.28,2070
263.7,2074
264.13,2078
264.58,2078
265.0,2083
265.42,2090
265.85,2096
266.28,2100
266.7,2100
267.13,2106
267.55,2110
267.98,2115
268.4,2123
268.83,2123
269.26,2128
269.69,2135
270.12,2141
270.54,2145
270.97,2145
271.4,2151
271.83,2155
272.25,2160
272.72,2164
273.14,2164
273.57,2169
273.99,2174
274.42,2178
274.84,2182
275.26,2182
275.69,2186
276.11,2190
276.54,2194
276.96,2198
277.39,2198
277.81,2203
278.23,2208
278.66,2212
279.09,2216
279.51,2216
279.94,2220
280.37,2224
280.81,2227
281.24,2230
281.67,2230
282.09,2233
282.52,2236
282.94,2239
283.36,2242
283.79,2242
284.21,2245
284.64,2248
285.06,2251
285.5,2254
285.92,2254
286.34,2257
286.77,2260
287.19,2263
287.62,2266
288.04,2266
288.48,2269
288.91,2272
289.33,2275
289.76,2278
290.18,2278
290.6,2281
291.03,2284
291.46,2287
291.89,2290
292.31,2290
292.74,2293
293.16,2296
293.59,2299
294.02,2302
294.45,2302
294.87,2305
295.3,2308
295.73,2311
296.15,2314
296.6,2314
297.02,2318
297.44,2322
297.87,2326
298.29,2330
298.72,2330
299.14,2335
299.57,2343
299.99,2350
300.42,2356
300.85,2356
301.28,2360
301.7,2364
302.13,2368
302.55,2372
302.98,2372
303.41,2377
303.84,2385
304.26,2392
304.72,2396
305.14,2396
305.57,2402
306.0,2406
306.43,2411
306.85,2419
307.27,2419
307.7,2424
308.13,2431
308.55,2437
308.98,2441
309.41,2441
309.84,2447
310.26,2451
310.69,2456
311.11,2464
311.54,2464
311.96,2469
312.39,2476
312.85,2480
313.28,2484
313.7,2484
314.13,2488
314.55,2492
314.97,2496
315.4,2500
315.82,2500
316.25,2505
316.67,2510
317.1,2514
317.52,2518
317.95,2518
318.38,2522
318.8,2526
319.22,2530
319.65,2534
320.08,2534
320.52,2537
320.95,2540
321.37,2543
321.8,2546
322.23,2546
322.66,2549
323.08,2552
323.51,2555
323.93,2558
324.36,2558
324.78,2561
325.21,2564
325.64,2567
326.07,2570
326.49,2570
326.91,2573
327.34,2576
327.76,2579
328.19,2582
328.63,2582
329.05,2585
329.48,2588
329.9,2591
330.33,2594
330.76,2594
331.18,2597
331.61,2600
332.04,2603
332.46,2606
332.88,2606
333.31,2609
333.74,2612
334.17,2615
334.59,2618
335.02,2618
335.44,2621
335.87,2624
336.29,2627
336.73,2631
337.16,2631
337.58,2636
338.01,2644
338.43,2651
338.86,2657
339.28,2657
339.71,2661
340.14,2665
340.57,2669
341.0,2673
341.43,2673
341.85,2678
342.28,2686
342.7,2693
343.13,2699
343.55,2699
343.98,2703
344.41,2707
344.86,2712
345.28,2720
345.71,2720
346.14,2725
346.56,2732
346.99,2738
347.42,2742
347.84,2742
348.26,2748
348.69,2752
349.12,2757
349.55,2765
349.97,2765
350.4,2770
350.83,2777
351.25,2783
351.68,2787
352.11,2787
352.57,2791
353.0,2795
353.42,2799
353.85,2803
354.27,2803
354.7,2808
355.12,2813
355.54,2817
355.97,2821
356.4,2821
356.82,2825
357.25,2829
357.67,2833
358.1,2837
358.52,2837
358.95,2842
359.37,2847
359.8,2851
360.22,2855
360.66,2855
361.08,2858
361.51,2861
361.94,2864
362.36,2867
362.79,2867
363.22,2870
363.65,2873
364.07,2876
364.49,2879
364.92,2879
365.35,2882
365.78,2885
366.2,2888
366.63,2891
367.06,2891
367.48,2894
367.91,2897
368.33,2900
368.78,2903
369.21,2903
369.63,2906
370.06,2909
370.49,2912
370.91,2915
371.34,2915
371.77,2918
372.19,2921
372.62,2924
373.04,2927
373.47,2927
373.9,2930
374.32,2933
374.74,2936
375.17,2939
375.6,2939
376.03,2942
376.47,2950
376.89,2957
377.32,2963
377.74,2963
378.17,2967
378.6,2971
379.02,2975
379.45,2979
379.87,2979
380.3,2984
380.72,2992
381.15,2999
381.58,3005
382.01,3005
382.43,3009
382.86,3013
383.28,3017
383.71,3021
384.14,3021
384.59,3026
385.01,3033
385.44,3039
385.87,3043
386.3,3043
386.72,3049
387.14,3053
387.57,3058
387.99,3066
388.42,3066
388.84,3071
389.26,3078
389.69,3084
390.12,3088
390.54,3088
390.97,3094
391.4,3098
391.82,3103
392.25,3111
392.71,3111
393.14,3116
393.56,3121
393.99,3125
394.41,3129
394.84,3129
395.26,3133
395.69,3137
396.11,3141
396.54,3145
396.96,3145
397.39,3150
397.81,3155
398.24,3159
398.67,3163
399.09,3163
399.52,3167
399.94,3171
400.37,3175
400.81,3178
401.23,3178
401.66,3181
402.09,3184
402.51,3187
402.94,3190
403.37,3190
403.79,3193
404.22,3196
404.64,3199
405.07,3202
405.5,3202
405.93,3205
406.35,3208
406.78,3211
407.21,3214
407.64,3214
408.06,3217
408.5,3220
408.93,3223
409.36,3226
409.78,3226
410.21,3229
410.64,3232
411.07,3235
411.49,3238
411.91,3238
412.34,3241
412.76,3244
413.19,3247
413.61,3250
414.04,3250
414.46,3253
414.89,3256
415.31,3259
415.74,3262
416.16,3262
416.6,3266
417.03,3270
417.45,3274
417.88,3278
418.31,3278
418.73,3283
419.16,3291
419.58,3298
420.01,3304
420.43,3304
420.86,3308
421.29,3312
421.71,3316
422.13,3320
422.56,3320
422.99,3325
423.41,3333
423.83,3340
424.26,3346
424.71,3346
425.13,3352
425.56,3356
425.98,3361
426.41,3369
426.83,3369
427.26,3374
427.68,3381
428.11,3387
428.54,3391
428.96,3391
429.39,3397
429.82,3401
430.24,3406
430.67,3414
431.1,3414
431.52,3419
431.95,3426
432.37,3432
432.83,3436
433.26,3436
433.68,3440
434.11,3444
434.54,3448
434.97,3452
435.39,3452
435.82,3457
436.25,3462
436.68,3466
437.1,3470
437.53,3470
437.95,3474
438.38,3478
438.81,3482
439.24,3486
439.66,3486
440.09,3491
440.54,3494
440.96,3497
441.39,3500
441.81,3500
442.24,3503
442.67,3506
443.09,3509
443.52,3512
443.95,3512
444.37,3515
444.8,3518
445.22,3521
445.65,3524
446.07,3524
446.49,3527
446.92,3530
447.36,3533
447.78,3536
448.21,3536
448.65,3539
449.08,3542
449.51,3545
449.93,3548
450.36,3548
450.8,3551
451.22,3554
451.65,3557
452.08,3560
452.5,3560
452.93,3563
453.36,3566
453.78,3569
454.21,3572
454.63,3572
455.06,3575
455.49,3578
455.92,3581
456.34,3584
456.79,3584
457.22,3589
457.65,3597
458.08,3604
458.51,3610
458.94,3610
459.36,3614
459.79,3618
460.22,3622
460.65,3626
461.07,3626
461.5,3631
461.92,3639
462.35,3646
462.77,3652
463.19,3652
463.62,3656
464.04,3660
464.5,3665
464.92,3673
465.35,3673
465.78,3678
466.21,3685
466.64,3691
467.07,3695
467.5,3695
467.92,3701
468.35,3705
468.77,3710
469.2,3718
469.63,3718
470.05,3723
470.48,3730
470.91,3736
471.34,3740
471.76,3740
472.19,3746
472.65,3750
473.08,3754
473.5,3758
473.93,3758
474.36,3763
474.78,3768
475.21,3772
475.64,3776
476.06,3776
476.49,3780
476.91,3784
477.34,3788
477.77,3792
478.19,3792
478.62,3797
479.05,3802
479.47,3806
479.89,3810
480.32,3810
480.76,3813
481.19,3816
481.61,3819
482.04,3822
482.47,3822
482.89,3825
483.32,3828
483.74,3831
484.17,3834
484.59,3834
485.02,3837
485.45,3840
485.87,3843
486.3,3846
486.73,3846
487.15,3849
487.57,3852
488.0,3855
488.42,3858
488.87,3858
489.3,3861
489.72,3864
490.15,3867
490.58,3870
491.01,3870
491.43,3873
491.86,3876
492.29,3879
492.71,3882
493.14,3882
493.56,3885
493.99,3888
494.42,3891
494.85,3894
495.27,3894
495.7,3897
496.12,3900
496.57,3907
496.99,3913
497.42,3913
497.84,3917
498.27,3921
498.69,3925
499.12,3929
499.54,3929
499.97,3934
